DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
220109442,04/01/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,01,Central,0111,2,354,THEFT OF IDENTITY,0100 1822 0120,75,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800    NEW DEPOT                    ST,,34.0645,-118.2432
231412095,06/09/2023 12:00:00 AM,06/19/2020 12:00:00 AM,2300,14,Pacific,1458,1,121,"RAPE, FORCIBLE",0526 1810 2001 2002 0527 0515 0913 1206 2034 1262,41,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121,,,,5000 S  SLAUSON                      AV,,33.9943,-118.408
210808759,04/29/2021 12:00:00 AM,08/03/2020 12:00:00 AM,1105,08,West LA,0855,2,354,THEFT OF IDENTITY,0100 0928,37,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600    CAMDEN                       AV,,34.0487,-118.4426
220504759,01/20/2022 12:00:00 AM,01/19/2020 12:00:00 AM,0500,05,Harbor,0506,1,310,BURGLARY,1606 0344,36,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1600 W  219TH                        ST,,33.8291,-118.3065
220707275,03/27/2022 12:00:00 AM,06/07/2020 12:00:00 AM,1200,07,Wilshire,0742,2,434,FALSE IMPRISONMENT,1501 1822,59,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,434,,,,6300    WILSHIRE                     BL,,34.0634,-118.3657
231711731,05/25/2023 12:00:00 AM,06/02/2020 12:00:00 AM,0001,17,Devonshire,1737,2,354,THEFT OF IDENTITY,1202 0923 1822,-2,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,16800    SAN FERNANDO MISSION         BL,,34.272,-118.4978
220318720,10/19/2022 12:00:00 AM,07/10/2020 12:00:00 AM,1000,03,Southwest,0395,2,666,"BUNCO, ATTEMPT",0800 0701 1202 2021 0913 0344,60,F,H,203,OTHER BUSINESS,,,AO,Adult Other,666,,,,4000 S  HARVARD                      BL,,34.0109,-118.3067
211406426,10/25/2020 12:00:00 AM,07/02/2020 12:00:00 AM,0001,14,Pacific,1488,2,860,BATTERY WITH SEXUAL CONTACT,1251 1259 0522 1811,16,M,O,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,5700 W  CENTURY                      BL,,33.9456,-118.3797
220613117,07/12/2022 12:00:00 AM,01/02/2020 12:00:00 AM,0001,06,Hollywood,0637,2,354,THEFT OF IDENTITY,1822 0928,46,F,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1700 N  GOWER                        ST,,34.1017,-118.3224
231110083,06/13/2023 12:00:00 AM,09/22/2020 12:00:00 AM,0600,11,Northeast,1151,2,649,DOCUMENT FORGERY / STOLEN FELONY,0935,57,M,A,701,HOSPITAL,,,IC,Invest Cont,649,,,,4800 W  SUNSET                       BL,,34.0982,-118.294
