DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231307252,03/03/2023 12:00:00 AM,07/05/2020 12:00:00 AM,2305,13,Newton,1391,2,354,THEFT OF IDENTITY,0100,22,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,6600 S  BROADWAY,,33.9789,-118.2795
230516282,11/28/2023 12:00:00 AM,11/18/2020 12:00:00 AM,1200,05,Harbor,0513,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,25600    MARIGOLD                     AV,,33.7862,-118.2908
220715286,10/13/2022 12:00:00 AM,06/01/2020 12:00:00 AM,2359,07,Wilshire,0722,2,886,DISTURBING THE PEACE,0342 0913 0603,59,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,886,,,,100 S  FLORES                       ST,,34.0744,-118.3711
221322455,12/14/2022 12:00:00 AM,08/31/2020 12:00:00 AM,1201,13,Newton,1371,2,354,THEFT OF IDENTITY,0100,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5200 S  MAIN                         ST,,33.9924,-118.2772
220308220,03/29/2022 12:00:00 AM,06/12/2020 12:00:00 AM,0155,03,Southwest,0321,2,354,THEFT OF IDENTITY,0100 0922 0929 0930 1822 0344,24,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5600    CLEMSON                      ST,,34.0238,-118.3669
221917036,11/03/2022 12:00:00 AM,11/03/2020 12:00:00 AM,1415,19,Mission,1974,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0603,45,M,W,507,CONDOMINIUM/TOWNHOUSE,,,AO,Adult Other,740,,,,9000    WILLIS                       AV,,34.2337,-118.4553
221308375,03/21/2022 12:00:00 AM,02/04/2020 12:00:00 AM,2115,13,Newton,1361,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0334 0421 2002 0913 1241 0432 1813 2000,40,F,H,501,SINGLE FAMILY DWELLING,215,MACHETE,IC,Invest Cont,236,,,,200 W  49TH                         ST,,33.9983,-118.2762
221512237,03/04/2022 12:00:00 AM,03/01/2020 12:00:00 AM,0700,15,N Hollywood,1585,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1820 0344 0800 1822,58,F,W,501,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,341,,,,4100    ELMER                        AV,,34.143,-118.3768
220111774,05/06/2022 12:00:00 AM,05/25/2020 12:00:00 AM,1300,01,Central,0111,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 0913 1206 0416 2000,29,F,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,PASEO LUIS OLIVARES,N  SPRING                       ST,34.0615,-118.2412
201813532,07/05/2020 12:00:00 AM,07/05/2020 12:00:00 AM,1400,18,Southeast,1842,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,109TH,BROADWAY,33.9374,-118.2784
