DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
232113429,08/28/2023 12:00:00 AM,03/01/2020 12:00:00 AM,1200,21,Topanga,2155,2,354,THEFT OF IDENTITY,0377 0930 1822,32,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,22100    ERWIN                        ST,,34.1829,-118.6077
230716588,11/01/2023 12:00:00 AM,10/31/2020 12:00:00 AM,1630,07,Wilshire,0776,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1814 1810,50,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,4500    ST CHARLES                   PL,,34.0443,-118.3354
221004727,01/21/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,10,West Valley,1044,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0319 2021 0913 0603 0361 0443,56,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,18300    COLLINS                      ST,,34.1749,-118.5308
232110277,06/12/2023 12:00:00 AM,09/11/2020 12:00:00 AM,1200,21,Topanga,2177,2,354,THEFT OF IDENTITY,1822,41,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5700    OWENSMOUTH                   AV,,34.1732,-118.6019
221110416,06/14/2022 12:00:00 AM,10/24/2020 12:00:00 AM,0955,11,Northeast,1123,2,354,THEFT OF IDENTITY,1822,37,M,O,710,OTHER PREMISE,,,IC,Invest Cont,354,,,,3900    GLENFELIZ                    BL,,34.1212,-118.2672
231017522,12/23/2023 12:00:00 AM,10/20/2020 12:00:00 AM,1200,10,West Valley,1015,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,SATICOY                      AV,CANBY                        ST,34.2084,-118.5347
231911608,07/14/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0600,19,Mission,1984,1,820,ORAL COPULATION,0522 0510 1258 2021 0913 1817,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,8400    WILLIS                       AV,,34.2231,-118.4553
230613179,07/25/2023 12:00:00 AM,02/20/2020 12:00:00 AM,1720,06,Hollywood,0631,2,354,THEFT OF IDENTITY,1822 0928,37,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100    SUNSET VALE                  AV,,34.0911,-118.3932
221210279,04/16/2022 12:00:00 AM,11/05/2020 12:00:00 AM,2230,12,77th Street,1233,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,42,F,B,124,BUS STOP,,,IC,Invest Cont,440,,,,S  WESTERN                      AV,W  SLAUSON                      AV,33.9888,-118.3089
230308058,03/20/2023 12:00:00 AM,03/20/2020 12:00:00 AM,2200,03,Southwest,0361,1,330,BURGLARY FROM VEHICLE,1822 0344 1601 1609 0329 1307,32,M,B,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,4900    LINSCOTT                     PL,,34.0198,-118.3522
