DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
222013040,08/06/2022 12:00:00 AM,06/04/2020 12:00:00 AM,1620,20,Olympic,2054,2,354,THEFT OF IDENTITY,1822 0922,60,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3300    SAN MARINO                   ST,,34.0545,-118.3031
211206198,02/03/2021 12:00:00 AM,12/20/2020 12:00:00 AM,1400,12,77th Street,1265,2,624,BATTERY - SIMPLE ASSAULT,0913 0416 0361,56,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1300 W  MANCHESTER                   AV,,33.96,-118.2986
220712765,08/11/2022 12:00:00 AM,03/20/2020 12:00:00 AM,1015,07,Wilshire,0773,2,354,THEFT OF IDENTITY,0930,28,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900 S  BURNSIDE                     AV,,34.0419,-118.3572
221308438,03/23/2022 12:00:00 AM,10/19/2020 12:00:00 AM,0600,13,Newton,1364,2,354,THEFT OF IDENTITY,0935 1822 0930,50,M,H,101,STREET,,,IC,Invest Cont,354,,,,1200 E  46TH                         ST,,34.0021,-118.2541
221715152,10/20/2022 12:00:00 AM,08/05/2020 12:00:00 AM,1950,17,Devonshire,1745,2,354,THEFT OF IDENTITY,1501 1822,41,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,10300    LINDLEY                      AV,,34.2573,-118.5273
201112065,07/31/2020 12:00:00 AM,07/30/2020 12:00:00 AM,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
220404852,01/28/2022 12:00:00 AM,12/27/2020 12:00:00 AM,1200,04,Hollenbeck,0439,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,946,,,,2200    LILLYVALE                    AV,,34.0711,-118.1643
221106692,03/14/2022 12:00:00 AM,01/01/2020 12:00:00 AM,1510,11,Northeast,1124,2,354,THEFT OF IDENTITY,1822,26,M,H,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,354,,,,3000 W  AVENUE 32,,34.115,-118.2416
221908420,04/15/2022 12:00:00 AM,08/01/2020 12:00:00 AM,0005,19,Mission,1985,2,813,CHILD ANNOYING (17YRS & UNDER),,13,F,W,737,SKATING RINK*,,,IC,Invest Cont,813,,,,8700    VAN NUYS                     BL,,34.2276,-118.45
221818077,09/28/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,18,Southeast,1801,1,820,ORAL COPULATION,0512 1258 0522 0432 0510 0551 0549 2021,6,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,820,,,500 W  92ND                         ST,,33.9528,-118.2827
