DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
231715667,09/25/2023 12:00:00 AM,09/03/2020 12:00:00 AM,2000,17,Devonshire,1722,2,354,THEFT OF IDENTITY,0929 0930 0935 0928 1822,42,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,21600    DEVONSHIRE                   ST,,34.2607,-118.6025
220911156,07/06/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,09,Van Nuys,0941,1,310,BURGLARY,0358 0344,64,F,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,15300    HATTERAS                     ST,,34.1757,-118.4662
231820987,11/27/2023 12:00:00 AM,01/27/2020 12:00:00 AM,1320,18,Southeast,1844,2,354,THEFT OF IDENTITY,0100 0935 1501 1822,18,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11000    AVALON                       BL,,33.9356,-118.2652
231304299,01/06/2023 12:00:00 AM,01/06/2020 12:00:00 AM,0905,13,Newton,1391,2,354,THEFT OF IDENTITY,0100,26,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,W  69TH                         ST,S  BROADWAY,33.9774,-118.2783
221420220,12/10/2022 12:00:00 AM,10/24/2020 12:00:00 AM,1500,14,Pacific,1407,2,354,THEFT OF IDENTITY,,21,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10100    TABOR                        ST,,34.0269,-118.4037
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,07,Wilshire,0784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,01,Central,0182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,03,Southwest,0356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,09,Van Nuys,0964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
220614831,08/18/2022 12:00:00 AM,08/17/2020 12:00:00 AM,1200,06,Hollywood,0666,2,354,THEFT OF IDENTITY,1822 1501 0930 2004,28,M,H,102,SIDEWALK,,,IC,Invest Cont,354,,,,1900    TRANSIENT,,34.0944,-118.3277
231808869,04/04/2023 12:00:00 AM,12/01/2020 12:00:00 AM,2300,18,Southeast,1826,2,354,THEFT OF IDENTITY,1822 0100 0930 0929,41,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9900    COMPTON                      AV,,33.9467,-118.2463
230110144,04/04/2023 12:00:00 AM,07/03/2020 12:00:00 AM,0900,01,Central,0182,2,354,THEFT OF IDENTITY,0930 0929,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 S  GRAND                        AV,,34.0415,-118.262
220314085,07/22/2022 12:00:00 AM,05/12/2020 12:00:00 AM,1110,03,Southwest,0303,2,354,THEFT OF IDENTITY,0100,27,F,B,248,CELL PHONE STORE,,,IC,Invest Cont,354,,,,2500 S  SYCAMORE                     AV,,34.0335,-118.3537
231309864,04/28/2023 12:00:00 AM,12/09/2020 12:00:00 AM,1400,13,Newton,1375,2,354,THEFT OF IDENTITY,0100,24,F,B,750,CYBERSPACE,,,IC,Invest Cont,354,,,,1300 E  57TH                         ST,,33.9911,-118.2521
211904005,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1220,19,Mission,1974,2,624,BATTERY - SIMPLE ASSAULT,0416,26,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,9000    CEDROS                       AV,,34.2336,-118.4535
221804943,01/21/2022 12:00:00 AM,07/01/2020 12:00:00 AM,1335,18,Southeast,1822,2,354,THEFT OF IDENTITY,1822 0930,26,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 W  COLDEN                       AV,,33.9492,-118.2739
221908151,04/12/2022 12:00:00 AM,10/01/2020 12:00:00 AM,0001,19,Mission,1988,1,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0913 2024 1817 0360 1258 0507,8,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,13400    RANGOON                      ST,,34.2285,-118.4258
230204214,01/05/2023 12:00:00 AM,02/01/2020 12:00:00 AM,0800,02,Rampart,0201,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0913 0400 0500 0522 1817,7,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,900 N  MARIPOSA                     AV,,34.0868,-118.2991
221008844,05/06/2022 12:00:00 AM,11/01/2020 12:00:00 AM,0130,10,West Valley,1029,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VALJEAN                      ST,VANOWEN                      AV,34.1939,-118.4859
230207571,03/16/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1500,02,Rampart,0271,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",2000 1251 1259 0522 0507 0913,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,JA,Juv Arrest,810,,,,900 S  LAKE                         ST,,34.0539,-118.2799
230312288,06/01/2023 12:00:00 AM,02/02/2020 12:00:00 AM,0315,03,Southwest,0391,2,354,THEFT OF IDENTITY,0100 0928 0929 0935 1822,56,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,4200    SANTO TOMAS                  DR,,34.0103,-118.3456
231805781,02/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,0805,18,Southeast,1802,2,354,THEFT OF IDENTITY,0928 1822,22,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 W  90TH                         ST,,33.9551,-118.2814
231322474,12/24/2023 12:00:00 AM,01/09/2020 12:00:00 AM,1200,13,Newton,1354,2,354,THEFT OF IDENTITY,0100,23,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4000    WALL                         ST,,34.0112,-118.2716
210705560,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1800,07,Wilshire,0776,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0400,31,F,O,101,STREET,307,VEHICLE,AA,Adult Arrest,230,,,,4500    LOMITA                       ST,,34.0452,-118.3351
221016258,09/20/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0001,10,West Valley,1067,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",2041 1906 1822,30,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,5200    GENESTA                      AV,,34.166,-118.5033
220705246,02/03/2022 12:00:00 AM,02/11/2020 12:00:00 AM,1200,07,Wilshire,0747,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,57,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,800 S  TREMAINE                     AV,,34.0608,-118.3359
230808643,04/25/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0800,08,West LA,0801,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0352 1822 0344,56,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,16700    MONTE HERMOSO                DR,,34.0677,-118.552
231907172,03/21/2023 12:00:00 AM,03/15/2020 12:00:00 AM,1200,19,Mission,1983,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1259 0913 1817 1801 0503,12,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,8500    COLUMBUS                     AV,,34.2246,-118.4654
232011098,06/04/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,20,Olympic,2088,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1251 1258 0400 0522 0913 0551 2021,7,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,1700 S  WESTMORELAND                 AV,,34.0433,-118.2892
200412582,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,0630,04,Hollenbeck,0413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
232112438,08/03/2023 12:00:00 AM,07/01/2020 12:00:00 AM,1200,21,Topanga,2157,2,354,THEFT OF IDENTITY,1822 0929 0930,46,M,B,751,WEBSITE,,,IC,Invest Cont,354,,,,21000    VANOWEN                      ST,,34.1938,-118.5906
221105176,02/02/2022 12:00:00 AM,02/09/2020 12:00:00 AM,1200,11,Northeast,1132,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1912 0913,30,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,930,,,,2800    WAVERLY                      DR,,34.1084,-118.2639
222106031,02/23/2022 12:00:00 AM,08/14/2020 12:00:00 AM,1300,21,Topanga,2113,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,IC,Invest Cont,668,,,,7700    SAUSALITO                    AV,,34.2105,-118.6157
211209197,03/20/2021 12:00:00 AM,07/01/2020 12:00:00 AM,1425,12,77th Street,1243,2,354,THEFT OF IDENTITY,0928,51,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600 W  67TH                         ST,,33.9785,-118.3068
220808837,04/28/2022 12:00:00 AM,03/30/2020 12:00:00 AM,1630,08,West LA,0842,2,624,BATTERY - SIMPLE ASSAULT,2000 1813 0913 0416,24,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1200 S  WESTGATE                     AV,,34.0474,-118.4635
231207725,02/27/2023 12:00:00 AM,01/27/2020 12:00:00 AM,0635,12,77th Street,1242,2,354,THEFT OF IDENTITY,0100 0917 1822,37,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,6200    4TH                          AV,,33.9837,-118.3216
231205231,01/17/2023 12:00:00 AM,01/01/2020 12:00:00 AM,1535,12,77th Street,1268,2,354,THEFT OF IDENTITY,0100 0928,27,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,100 E  85TH                         ST,,33.961,-118.2739
231108757,05/09/2023 12:00:00 AM,05/08/2020 12:00:00 AM,2023,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,20,M,A,108,PARKING LOT,,,IC,Invest Cont,330,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
221404806,01/19/2022 12:00:00 AM,01/18/2020 12:00:00 AM,1600,14,Pacific,1446,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,WASHINGTON                   PL,INGLEWOOD,34.0022,-118.4255
220215983,09/06/2022 12:00:00 AM,05/26/2020 12:00:00 AM,1200,02,Rampart,0233,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,200 S  CORONADO                     ST,,34.0697,-118.2779
211220472,09/27/2021 12:00:00 AM,11/26/2020 12:00:00 AM,2000,12,77th Street,1259,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0400 0443 1814 2000,29,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,,,7800 S  SAN PEDRO                    ST,,33.9679,-118.2695
211818877,10/22/2021 12:00:00 AM,03/10/2020 12:00:00 AM,1500,18,Southeast,1801,2,354,THEFT OF IDENTITY,0100 1822 0930 0922,26,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8700    ORCHARD                      AV,,33.9587,-118.2882
221515929,10/10/2022 12:00:00 AM,04/01/2020 12:00:00 AM,1200,15,N Hollywood,1539,2,354,THEFT OF IDENTITY,0377,33,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5700    CARTWRIGHT                   AV,,34.174,-118.3638
230406865,03/28/2023 12:00:00 AM,06/28/2020 12:00:00 AM,1250,04,Hollenbeck,0478,2,354,THEFT OF IDENTITY,0100,34,F,B,504,OTHER RESIDENCE,,,IC,Invest Cont,354,,,,3400    PERCY                        ST,,34.0286,-118.1996
231915767,10/25/2023 12:00:00 AM,09/02/2020 12:00:00 AM,0001,19,Mission,1985,2,354,THEFT OF IDENTITY,0917,15,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8700    TOBIAS                       AV,,34.228,-118.4517
221016530,11/15/2022 12:00:00 AM,10/23/2020 12:00:00 AM,1735,10,West Valley,1045,2,354,THEFT OF IDENTITY,1822 0935 1202,65,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,17900    EMELITA                      ST,,34.1776,-118.523
231210407,04/18/2023 12:00:00 AM,01/01/2020 12:00:00 AM,0001,12,77th Street,1259,2,354,THEFT OF IDENTITY,0930 0929 0928 1822,59,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,700 E  73RD                         ST,,33.9739,-118.263
220208037,03/30/2022 12:00:00 AM,01/01/2020 12:00:00 AM,0800,02,Rampart,0249,2,813,CHILD ANNOYING (17YRS & UNDER),1822 0359 1251 1259,15,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,813,,,,1100 W  6TH                          ST,,34.0541,-118.2621
221504294,01/06/2022 12:00:00 AM,10/30/2020 12:00:00 AM,0001,15,N Hollywood,1535,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 0500 1258,9,M,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,812,,,,5700    COLFAX                       AV,,34.174,-118.3878
221312369,06/03/2022 12:00:00 AM,12/10/2020 12:00:00 AM,0700,13,Newton,1333,2,354,THEFT OF IDENTITY,0100,33,M,H,750,CYBERSPACE,,,IC,Invest Cont,354,,,,2700 S  CENTRAL                      AV,,34.0174,-118.2621
220911866,07/26/2022 12:00:00 AM,02/01/2020 12:00:00 AM,0505,09,Van Nuys,0971,2,354,THEFT OF IDENTITY,0922 0929 0923 0930,34,F,W,605,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,354,,,,15200    LA MAIDA                     ST,,34.1585,-118.464
